AromaSense Herbal Analysis Data
Sample Name,lengkuas
Herbal Type,lengkuas
Export Date,2025-11-28T17:12:34.789826
Analysis Mode,Auto FSM
Total Data Points,7239
Final Duration,1809.50 s

Time (s),NO2 Sensor,Ethanol Sensor,VOC Sensor,CO Sensor,MiCS CO,MiCS Ethanol,MiCS VOC
31.750,0.90,0.72,0.23,0.06,1.29,0.69,0.34
32.000,0.90,0.72,0.23,0.06,1.29,0.69,0.34
32.250,0.90,0.72,0.24,0.06,1.29,0.69,0.34
32.500,0.90,0.72,0.24,0.06,1.29,0.69,0.34
32.750,0.90,0.72,0.24,0.06,1.29,0.69,0.34
33.000,0.90,0.72,0.24,0.06,1.29,0.69,0.34
33.250,0.90,0.72,0.24,0.06,1.29,0.69,0.34
33.500,0.90,0.72,0.24,0.06,1.29,0.69,0.34
33.750,0.90,0.72,0.24,0.06,1.29,0.69,0.34
34.000,0.90,0.72,0.24,0.06,1.29,0.69,0.34
34.250,0.90,0.72,0.24,0.06,1.29,0.69,0.34
34.500,0.90,0.72,0.24,0.06,1.29,0.69,0.34
34.750,0.90,0.72,0.24,0.06,1.35,0.73,0.35
35.000,0.90,0.72,0.24,0.06,1.29,0.69,0.34
35.250,0.90,0.72,0.24,0.06,1.29,0.69,0.34
35.500,0.90,0.72,0.24,0.06,1.35,0.73,0.35
35.750,0.90,0.72,0.24,0.06,1.29,0.69,0.34
36.000,0.90,0.72,0.24,0.06,1.35,0.73,0.35
36.250,0.90,0.72,0.24,0.06,1.35,0.73,0.35
36.500,0.90,0.72,0.24,0.06,1.35,0.73,0.35
36.750,0.90,0.72,0.24,0.06,1.35,0.73,0.35
37.000,0.90,0.72,0.24,0.06,1.35,0.73,0.35
37.250,0.90,0.72,0.24,0.06,1.35,0.73,0.35
37.500,0.90,0.72,0.24,0.06,1.29,0.69,0.34
37.750,0.90,0.73,0.24,0.06,1.35,0.73,0.35
38.000,0.90,0.72,0.25,0.06,1.35,0.73,0.35
38.250,0.90,0.72,0.25,0.06,1.35,0.73,0.35
38.500,0.90,0.72,0.25,0.06,1.29,0.69,0.34
38.750,0.91,0.72,0.25,0.06,1.35,0.73,0.35
39.000,0.90,0.72,0.25,0.06,1.35,0.73,0.35
39.250,0.90,0.72,0.25,0.06,1.35,0.73,0.35
39.500,0.90,0.72,0.25,0.06,1.35,0.73,0.35
39.750,0.91,0.73,0.25,0.06,1.35,0.73,0.35
40.000,0.91,0.72,0.25,0.06,1.35,0.73,0.35
40.250,0.91,0.73,0.25,0.06,1.35,0.73,0.35
40.500,0.91,0.73,0.25,0.06,1.35,0.73,0.35
40.750,0.91,0.72,0.25,0.06,1.35,0.73,0.35
41.000,0.91,0.73,0.25,0.06,1.35,0.73,0.35
41.250,0.91,0.73,0.25,0.06,1.35,0.73,0.35
41.500,0.91,0.72,0.25,0.06,1.35,0.73,0.35
41.750,0.91,0.72,0.25,0.06,1.41,0.77,0.37
42.000,0.91,0.72,0.25,0.06,1.35,0.73,0.35
42.250,0.91,0.73,0.25,0.06,1.35,0.73,0.35
42.500,0.91,0.73,0.25,0.06,1.35,0.73,0.35
42.750,0.91,0.73,0.25,0.06,1.35,0.73,0.35
43.000,0.91,0.73,0.25,0.06,1.35,0.73,0.35
43.250,0.91,0.73,0.26,0.06,1.41,0.77,0.37
43.500,0.91,0.73,0.26,0.06,1.41,0.77,0.37
43.750,0.91,0.73,0.26,0.06,1.41,0.77,0.37
44.000,0.91,0.73,0.26,0.06,1.41,0.77,0.37
44.250,0.91,0.73,0.26,0.06,1.41,0.77,0.37
44.500,0.91,0.73,0.26,0.06,1.41,0.77,0.37
44.750,0.91,0.73,0.26,0.06,1.41,0.77,0.37
45.000,0.91,0.73,0.26,0.06,1.41,0.77,0.37
45.250,0.91,0.73,0.26,0.06,1.41,0.77,0.37
45.500,0.91,0.73,0.26,0.06,1.41,0.77,0.37
45.750,0.91,0.73,0.26,0.06,1.41,0.77,0.37
46.000,0.91,0.73,0.26,0.06,1.41,0.77,0.37
46.250,0.91,0.73,0.26,0.06,1.41,0.77,0.37
46.500,0.91,0.73,0.26,0.06,1.41,0.77,0.37
46.750,0.91,0.73,0.26,0.06,1.41,0.77,0.37
47.000,0.91,0.73,0.26,0.06,1.41,0.77,0.37
47.250,0.91,0.73,0.26,0.06,1.41,0.77,0.37
47.500,0.91,0.73,0.26,0.06,1.41,0.77,0.37
47.750,0.91,0.73,0.26,0.06,1.41,0.77,0.37
48.000,0.91,0.73,0.26,0.06,1.41,0.77,0.37
48.250,0.91,0.73,0.26,0.06,1.41,0.77,0.37
48.500,0.91,0.73,0.26,0.06,1.41,0.77,0.37
48.750,0.91,0.73,0.26,0.06,1.47,0.81,0.39
49.000,0.91,0.73,0.26,0.06,1.47,0.81,0.39
49.250,0.91,0.73,0.26,0.06,1.47,0.81,0.39
49.500,0.91,0.73,0.27,0.06,1.41,0.77,0.37
49.750,0.91,0.73,0.27,0.06,1.47,0.81,0.39
50.000,0.91,0.73,0.27,0.06,1.47,0.81,0.39
50.250,0.91,0.73,0.27,0.06,1.41,0.77,0.37
50.500,0.91,0.73,0.27,0.06,1.47,0.81,0.39
50.750,0.91,0.73,0.27,0.06,1.47,0.81,0.39
51.000,0.91,0.73,0.27,0.06,1.47,0.81,0.39
51.250,0.91,0.73,0.27,0.06,1.47,0.81,0.39
51.500,0.91,0.73,0.27,0.06,1.47,0.81,0.39
51.750,0.91,0.73,0.27,0.06,1.47,0.81,0.39
52.000,0.91,0.73,0.27,0.06,1.47,0.81,0.39
52.250,0.91,0.73,0.27,0.06,1.41,0.77,0.37
52.500,0.91,0.73,0.27,0.06,1.47,0.81,0.39
52.750,0.91,0.73,0.27,0.06,1.47,0.81,0.39
53.000,0.91,0.73,0.27,0.06,1.47,0.81,0.39
53.250,0.91,0.73,0.27,0.07,1.47,0.81,0.39
53.500,0.91,0.73,0.27,0.06,1.47,0.81,0.39
53.750,0.91,0.73,0.27,0.06,1.47,0.81,0.39
54.000,0.91,0.73,0.27,0.06,1.47,0.81,0.39
54.250,0.91,0.73,0.27,0.06,1.47,0.81,0.39
54.500,0.91,0.73,0.27,0.06,1.47,0.81,0.39
54.750,0.91,0.73,0.27,0.06,1.47,0.81,0.39
55.000,0.91,0.73,0.27,0.06,1.53,0.86,0.41
55.250,0.91,0.73,0.27,0.06,1.47,0.81,0.39
55.500,0.91,0.73,0.27,0.06,1.53,0.86,0.41
55.750,0.91,0.73,0.27,0.06,1.47,0.81,0.39
56.000,0.91,0.73,0.27,0.06,1.47,0.81,0.39
56.250,0.91,0.73,0.27,0.07,1.53,0.86,0.41
56.500,0.91,0.73,0.27,0.06,1.53,0.86,0.41
56.750,0.91,0.73,0.27,0.06,1.53,0.86,0.41
57.000,0.91,0.73,0.27,0.07,1.53,0.86,0.41
57.250,0.91,0.73,0.28,0.07,1.53,0.86,0.41
57.500,0.91,0.73,0.28,0.07,1.53,0.86,0.41
57.750,0.91,0.73,0.28,0.07,1.53,0.86,0.41
58.000,0.91,0.73,0.28,0.07,1.53,0.86,0.41
58.250,0.91,0.73,0.28,0.06,1.53,0.86,0.41
58.500,0.91,0.73,0.28,0.07,1.53,0.86,0.41
58.750,0.91,0.73,0.28,0.06,1.53,0.86,0.41
59.000,0.91,0.73,0.28,0.07,1.53,0.86,0.41
59.250,0.91,0.73,0.28,0.07,1.53,0.86,0.41
59.500,0.91,0.73,0.28,0.06,1.53,0.86,0.41
59.750,0.92,0.73,0.28,0.07,1.53,0.86,0.41
60.000,0.91,0.73,0.28,0.06,1.53,0.86,0.41
60.250,0.91,0.73,0.28,0.06,1.41,0.77,0.37
60.500,0.92,0.73,0.28,0.06,1.53,0.86,0.41
60.750,0.91,0.73,0.28,0.06,1.53,0.86,0.41
61.000,0.91,0.73,0.28,0.07,1.53,0.86,0.41
61.250,0.91,0.73,0.28,0.07,1.53,0.86,0.41
61.500,0.91,0.73,0.28,0.06,1.53,0.86,0.41
61.750,0.91,0.73,0.28,0.06,1.53,0.86,0.41
62.000,0.92,0.73,0.28,0.07,1.53,0.86,0.41
62.250,0.92,0.73,0.28,0.07,1.53,0.86,0.41
62.500,0.92,0.73,0.28,0.06,1.53,0.86,0.41
62.750,0.92,0.73,0.28,0.07,1.59,0.91,0.43
63.000,0.92,0.73,0.28,0.07,1.53,0.86,0.41
63.250,0.92,0.73,0.28,0.06,1.59,0.91,0.43
63.500,0.92,0.73,0.28,0.06,1.59,0.91,0.43
63.750,0.92,0.73,0.28,0.06,1.59,0.91,0.43
64.000,0.92,0.73,0.28,0.06,1.59,0.91,0.43
64.250,0.92,0.73,0.28,0.07,1.59,0.91,0.43
64.500,0.92,0.73,0.28,0.07,1.59,0.91,0.43
64.750,0.92,0.73,0.28,0.07,1.59,0.91,0.43
65.000,0.92,0.73,0.28,0.06,1.59,0.91,0.43
65.250,0.92,0.73,0.28,0.06,1.59,0.91,0.43
65.500,0.92,0.73,0.28,0.07,1.59,0.91,0.43
65.750,0.92,0.73,0.28,0.07,1.59,0.91,0.43
66.000,0.92,0.73,0.28,0.06,1.59,0.91,0.43
66.250,0.92,0.73,0.28,0.06,1.53,0.86,0.41
66.500,0.92,0.73,0.28,0.06,1.59,0.91,0.43
66.750,0.92,0.73,0.29,0.06,1.72,1.00,0.46
67.000,0.92,0.73,0.29,0.07,1.59,0.91,0.43
67.250,0.92,0.73,0.29,0.07,1.59,0.91,0.43
67.500,0.92,0.73,0.29,0.06,1.59,0.91,0.43
67.750,0.92,0.73,0.29,0.07,1.59,0.91,0.43
68.000,0.92,0.73,0.29,0.07,1.59,0.91,0.43
68.250,0.92,0.73,0.29,0.06,1.59,0.91,0.43
68.500,0.92,0.73,0.29,0.06,1.59,0.91,0.43
68.750,0.92,0.73,0.29,0.07,1.59,0.91,0.43
69.000,0.92,0.73,0.29,0.06,1.59,0.91,0.43
69.250,0.92,0.73,0.29,0.06,1.59,0.91,0.43
69.500,0.92,0.73,0.29,0.07,1.66,0.95,0.45
69.750,0.92,0.73,0.29,0.07,1.66,0.95,0.45
70.000,0.92,0.73,0.29,0.06,1.47,0.81,0.39
70.250,0.92,0.73,0.29,0.06,1.59,0.91,0.43
70.500,0.92,0.73,0.29,0.07,1.66,0.95,0.45
70.750,0.92,0.73,0.29,0.06,1.41,0.77,0.37
71.000,0.92,0.73,0.29,0.06,1.66,0.95,0.45
71.250,0.92,0.73,0.29,0.06,1.59,0.91,0.43
71.500,0.92,0.73,0.29,0.07,1.66,0.95,0.45
71.750,0.92,0.73,0.29,0.06,1.59,0.91,0.43
72.000,0.92,0.73,0.29,0.07,1.66,0.95,0.45
72.250,0.92,0.73,0.29,0.07,1.85,1.10,0.50
72.500,0.92,0.73,0.29,0.06,1.66,0.95,0.45
72.750,0.92,0.73,0.29,0.07,1.66,0.95,0.45
73.000,0.92,0.73,0.29,0.07,1.66,0.95,0.45
73.250,0.92,0.73,0.29,0.07,1.66,0.95,0.45
73.500,0.92,0.73,0.29,0.07,1.59,0.91,0.43
73.750,0.92,0.73,0.29,0.06,1.66,0.95,0.45
74.000,0.92,0.73,0.29,0.06,1.66,0.95,0.45
74.250,0.92,0.73,0.29,0.07,1.66,0.95,0.45
74.500,0.92,0.73,0.29,0.07,1.66,0.95,0.45
74.750,0.92,0.73,0.29,0.07,1.66,0.95,0.45
75.000,0.92,0.73,0.29,0.07,1.66,0.95,0.45
75.250,0.92,0.73,0.29,0.07,1.66,0.95,0.45
75.500,0.92,0.73,0.29,0.07,1.66,0.95,0.45
75.750,0.92,0.73,0.29,0.07,1.66,0.95,0.45
76.000,0.92,0.73,0.29,0.07,1.66,0.95,0.45
76.250,0.92,0.73,0.29,0.07,1.66,0.95,0.45
76.500,0.92,0.73,0.29,0.07,1.66,0.95,0.45
76.750,0.92,0.73,0.29,0.07,1.66,0.95,0.45
77.000,0.92,0.73,0.29,0.06,1.66,0.95,0.45
77.250,0.92,0.73,0.29,0.07,1.72,1.00,0.46
77.500,0.92,0.73,0.29,0.07,1.66,0.95,0.45
77.750,0.92,0.73,0.29,0.07,1.66,0.95,0.45
78.000,0.92,0.73,0.29,0.07,1.66,0.95,0.45
78.250,0.92,0.73,0.30,0.07,1.72,1.00,0.46
78.500,0.92,0.73,0.30,0.07,1.66,0.95,0.45
78.750,0.92,0.73,0.30,0.07,1.59,0.91,0.43
79.000,0.92,0.73,0.30,0.06,1.66,0.95,0.45
79.250,0.92,0.74,0.30,0.07,1.78,1.05,0.48
79.500,0.92,0.73,0.30,0.07,1.72,1.00,0.46
79.750,0.92,0.74,0.30,0.07,1.72,1.00,0.46
80.000,0.92,0.73,0.30,0.07,1.72,1.00,0.46
80.250,0.92,0.73,0.30,0.07,1.72,1.00,0.46
80.500,0.92,0.74,0.30,0.07,1.72,1.00,0.46
80.750,0.92,0.73,0.30,0.07,1.72,1.00,0.46
81.000,0.92,0.73,0.30,0.07,1.72,1.00,0.46
81.250,0.92,0.74,0.30,0.07,1.72,1.00,0.46
81.500,0.92,0.74,0.30,0.07,1.72,1.00,0.46
81.750,0.92,0.74,0.30,0.07,1.72,1.00,0.46
82.000,0.92,0.74,0.30,0.07,1.72,1.00,0.46
82.250,0.92,0.74,0.30,0.07,1.78,1.05,0.48
82.500,0.92,0.74,0.30,0.07,1.72,1.00,0.46
82.750,0.92,0.74,0.30,0.07,1.72,1.00,0.46
83.000,0.92,0.74,0.30,0.07,1.72,1.00,0.46
83.250,0.92,0.74,0.30,0.07,1.72,1.00,0.46
83.500,0.92,0.74,0.30,0.07,1.72,1.00,0.46
83.750,0.92,0.74,0.30,0.07,1.72,1.00,0.46
84.000,0.92,0.74,0.30,0.07,1.72,1.00,0.46
84.250,0.92,0.74,0.30,0.07,2.04,1.25,0.56
84.500,0.92,0.74,0.30,0.07,1.72,1.00,0.46
84.750,0.92,0.74,0.30,0.07,1.72,1.00,0.46
85.000,0.92,0.74,0.30,0.07,1.72,1.00,0.46
85.250,0.92,0.74,0.30,0.07,1.72,1.00,0.46
85.500,0.92,0.74,0.30,0.07,1.78,1.05,0.48
85.750,0.92,0.74,0.30,0.07,1.78,1.05,0.48
86.000,0.92,0.74,0.30,0.07,1.78,1.05,0.48
86.250,0.92,0.74,0.30,0.07,1.78,1.05,0.48
86.500,0.92,0.74,0.30,0.07,1.78,1.05,0.48
86.750,0.92,0.74,0.30,0.07,1.78,1.05,0.48
87.000,0.92,0.74,0.30,0.07,1.78,1.05,0.48
87.250,0.92,0.74,0.30,0.07,1.78,1.05,0.48
87.500,0.92,0.74,0.30,0.07,1.72,1.00,0.46
87.750,0.92,0.74,0.31,0.07,1.78,1.05,0.48
88.000,0.92,0.74,0.31,0.07,1.78,1.05,0.48
88.250,0.92,0.74,0.31,0.07,1.59,0.91,0.43
88.500,0.93,0.74,0.31,0.07,1.78,1.05,0.48
88.750,0.92,0.74,0.31,0.07,1.78,1.05,0.48
89.000,0.92,0.74,0.31,0.07,1.78,1.05,0.48
89.250,0.93,0.74,0.31,0.07,1.78,1.05,0.48
89.500,0.93,0.74,0.31,0.07,1.78,1.05,0.48
89.750,0.92,0.74,0.31,0.07,1.78,1.05,0.48
90.000,0.93,0.74,0.31,0.07,1.78,1.05,0.48
90.250,0.93,0.74,0.31,0.07,1.78,1.05,0.48
90.500,0.93,0.74,0.31,0.07,1.78,1.05,0.48
90.750,0.93,0.74,0.31,0.07,1.78,1.05,0.48
91.000,0.92,0.74,0.31,0.07,1.78,1.05,0.48
91.250,0.93,0.74,0.31,0.07,1.85,1.10,0.50
91.500,0.93,0.74,0.31,0.07,1.78,1.05,0.48
91.750,0.93,0.74,0.31,0.07,1.78,1.05,0.48
92.000,0.93,0.74,0.31,0.07,1.78,1.05,0.48
92.250,0.93,0.74,0.31,0.07,1.78,1.05,0.48
92.500,0.93,0.74,0.31,0.07,1.78,1.05,0.48
92.750,0.93,0.74,0.31,0.07,1.85,1.10,0.50
93.000,0.93,0.74,0.31,0.07,1.78,1.05,0.48
93.250,0.93,0.74,0.31,0.07,1.85,1.10,0.50
93.500,0.93,0.74,0.31,0.07,1.85,1.10,0.50
93.750,0.93,0.74,0.31,0.07,1.85,1.10,0.50
94.000,0.93,0.74,0.31,0.07,1.98,1.20,0.54
94.250,0.93,0.74,0.31,0.07,1.85,1.10,0.50
94.500,0.93,0.74,0.31,0.07,1.85,1.10,0.50
94.750,0.93,0.74,0.31,0.07,1.85,1.10,0.50
95.000,0.93,0.74,0.31,0.07,1.78,1.05,0.48
95.250,0.93,0.74,0.31,0.07,1.85,1.10,0.50
95.500,0.93,0.74,0.31,0.07,1.85,1.10,0.50
95.750,0.93,0.74,0.31,0.07,1.85,1.10,0.50
96.000,0.93,0.74,0.31,0.07,1.85,1.10,0.50
96.250,0.93,0.74,0.31,0.07,1.85,1.10,0.50
96.500,0.93,0.74,0.31,0.07,1.85,1.10,0.50
96.750,0.93,0.74,0.31,0.07,1.91,1.15,0.52
97.000,0.93,0.74,0.31,0.07,1.85,1.10,0.50
97.250,0.93,0.74,0.31,0.07,1.85,1.10,0.50
97.500,0.93,0.74,0.31,0.07,1.85,1.10,0.50
97.750,0.93,0.74,0.32,0.07,1.85,1.10,0.50
98.000,0.93,0.74,0.31,0.07,1.85,1.10,0.50
98.250,0.93,0.74,0.32,0.07,1.85,1.10,0.50
98.500,0.93,0.74,0.31,0.07,1.85,1.10,0.50
98.750,0.93,0.74,0.32,0.07,1.85,1.10,0.50
99.000,0.93,0.74,0.32,0.07,1.85,1.10,0.50
99.250,0.93,0.74,0.32,0.07,1.85,1.10,0.50
99.500,0.93,0.74,0.32,0.07,1.85,1.10,0.50
99.750,0.93,0.74,0.32,0.07,1.78,1.05,0.48
100.000,0.93,0.74,0.32,0.07,1.91,1.15,0.52
100.250,0.93,0.74,0.32,0.07,1.91,1.15,0.52
100.500,0.93,0.74,0.32,0.07,1.91,1.15,0.52
100.750,0.93,0.74,0.32,0.07,1.91,1.15,0.52
101.000,0.93,0.74,0.32,0.07,1.91,1.15,0.52
101.250,0.93,0.74,0.32,0.07,1.91,1.15,0.52
101.500,0.93,0.74,0.32,0.07,1.91,1.15,0.52
101.750,0.93,0.74,0.32,0.07,1.91,1.15,0.52
102.000,0.93,0.74,0.32,0.07,1.91,1.15,0.52
102.250,0.93,0.74,0.32,0.07,1.91,1.15,0.52
102.500,0.93,0.74,0.32,0.07,1.91,1.15,0.52
102.750,0.93,0.74,0.32,0.07,1.91,1.15,0.52
103.000,0.93,0.74,0.32,0.07,1.91,1.15,0.52
103.250,0.93,0.74,0.32,0.07,1.91,1.15,0.52
103.500,0.93,0.74,0.32,0.07,1.91,1.15,0.52
103.750,0.93,0.74,0.32,0.07,1.91,1.15,0.52
104.000,0.93,0.74,0.32,0.07,1.91,1.15,0.52
104.250,0.93,0.74,0.32,0.07,1.91,1.15,0.52
104.500,0.93,0.74,0.32,0.07,1.91,1.15,0.52
104.750,0.93,0.74,0.32,0.07,1.78,1.05,0.48
105.000,0.93,0.74,0.32,0.07,1.91,1.15,0.52
105.250,0.93,0.74,0.32,0.07,1.98,1.20,0.54
